sample_id,protein_id,corrected_rmsd,biopython_rmsd,abs_difference,detR,n_mapped_ca,status
Q92L81_AF-0000000068150379,Q92L81,1.2062815427780151,1.2062814235687256,1.1920928955078125e-07,0.9999999403953552,300,ok
A0A0F6AZH4_AF-0000000069860235,A0A0F6AZH4,11.061260223388672,11.061260223388672,0.0,1.0,103,ok
Q6AK50_AF-0000000085154144,Q6AK50,0.8740999698638916,0.8740999102592468,5.960464477539063e-08,0.9999998807907104,389,ok
N9XZA1_AF-0000000080437947,N9XZA1,1.7478418350219727,1.7478421926498413,3.5762786865234375e-07,1.0,376,ok
A0A564TZH8_AF-0000000083137117,A0A564TZH8,0.6932471394538879,0.6932471394538879,0.0,1.0,298,ok
A0A7W3PDF5_AF-0000000074210340,A0A7W3PDF5,1.364970326423645,1.364970326423645,0.0,1.0,162,ok
A0AAN8G9G4_AF-0000000079086078,A0AAN8G9G4,11.011266708374023,11.011266708374023,0.0,1.0000001192092896,603,ok
A0A371AYR0_AF-0000000079854855,A0A371AYR0,3.0493671894073486,3.0493669509887695,2.384185791015625e-07,0.9999998211860657,195,ok
D0WEH6_AF-0000000084940133,D0WEH6,3.9450724124908447,3.945073127746582,7.152557373046875e-07,0.9999999403953552,233,ok
A0A8B6ELN1_AF-0000000076151176,A0A8B6ELN1,6.502224445343018,6.502223968505859,4.76837158203125e-07,1.0,479,ok
